
,TCP,
interval,frames,Bytes
1,318,282907
2,387,361598
3,704,658776
4,507,458378
5,700,578051
6,447,296487
7,169,122050
8,137,121726
9,98,81166
10,119,99859
11,126,99741
12,174,143389
13,158,125008
14,273,235896
15,265,212989
16,175,150528
17,267,251241
18,407,383302
19,519,460133
20,0,0
21,0,0
22,0,0
23,0,0
24,3,262
25,0,0
26,2,102
27,0,0
28,0,0
29,0,0
30,91,66667
31,147,101550
32,161,108532
33,284,228340
34,188,149245
35,198,162767
36,155,140094
37,127,112028
38,149,138120
39,170,170874
40,132,111176
41,126,107105
42,171,168069
43,203,169203
44,157,125120
45,164,141875
46,103,66321
47,151,134023
48,182,166817
49,158,132573
50,140,118351
51,120,101313
52,166,139335
53,229,206893
54,194,164928
55,152,134325
56,176,191494
57,159,142247
58,224,204372
59,250,219690
60,118,96422
61,130,109668
62,89,65291
63,156,125136
64,207,217803
65,152,122998
66,184,151157
67,179,155838
68,172,150779
69,154,138575
70,240,225747
71,265,252760
72,9,8166
73,0,0
74,3,262
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,6,396
81,0,0
82,0,0
83,0,0
84,0,0
85,5,364
86,0,0
87,0,0
88,4,264
89,0,0
90,26,12847
91,158,123630
92,189,160723
93,80,60555
94,235,236577
95,157,123372
96,316,340337
97,262,281862
98,220,217386
99,268,306704
100,330,325098
101,343,336955
102,279,255453
103,301,276736
104,173,135482
105,5,394
106,0,0
107,2,132
108,0,0
109,0,0
110,0,0
111,0,0
112,7,1165
113,3,198
114,0,0
115,3,262
116,0,0
117,0,0
118,0,0
119,3,198
120,121,134364
121,265,254162
122,298,275439
123,165,133028
124,241,229153
125,176,153784
126,172,151370
127,148,128622
128,130,112869
129,144,135343
130,197,178851
131,133,110783
132,213,196493
133,210,191229
134,289,284292
135,411,383040
136,366,333331
137,215,177129
138,8,2581
139,2,132
140,2,132
141,0,0
142,4,264
143,0,0
144,0,0
145,3,262
146,0,0
147,0,0
148,0,0
149,0,0
150,16,9899
151,223,187682
152,201,177009
153,165,145721
154,152,131849
155,251,217342
156,333,309341
157,291,318478
158,21,25656
159,3,198
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,9,658
166,0,0
167,2,132
168,0,0
169,0,0
170,0,0
171,0,0
172,2,102
173,4,240
174,1,42
175,4,304
176,1,42
177,1,42
178,5,306
179,1,42
180,63,44699
181,222,161013
182,338,314625
183,354,261789
184,371,325279
185,425,390646
186,256,218763
187,281,279805
188,137,116757
189,391,386677
190,532,519549
191,494,495233
192,487,460639
193,593,618871
194,376,374624
195,417,379986
196,579,558612
197,628,592124
198,450,394009
199,39,34173
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,3,262
206,0,0
207,0,0
208,0,0
209,0,0
210,304,287149
211,239,183775
212,282,247545
213,389,328747
214,141,95025
215,124,89182
216,269,244073
217,348,365663
218,261,237719
219,184,193215
220,161,148426
221,136,111426
222,72,55747
223,31,13313
224,0,0
225,3,262
226,6,396
227,6,396
228,0,0
229,3,198
230,1,66
231,2,132
232,2,132
233,3,174
234,1,42
235,4,304
236,1,42
237,3,174
238,3,174
239,5,306
240,1,42
