,
,CPU,Memory,
Time,%CPU,RAM used
0,38,155124
1,88,155704
2,58,159056
3,107,160592
4,101,205560
5,106,211848
6,109,215280
7,105,214220
8,115,221772
9,110,228964
10,110,234776
11,114,239628
12,109,243644
13,114,250076
14,114,254692
15,107,264684
16,110,275528
17,110,294844
18,109,307656
19,112,322268
20,112,341792
21,110,363688
22,101,369552
23,99,369552
24,54,369552
25,20,369552
26,20,369552
27,18,369552
28,20,369552
29,20,369552
30,39,369556
31,110,372348
32,106,378704
33,115,383156
34,112,387648
35,116,393800
36,111,399356
37,114,404380
38,117,408784
39,115,415776
40,108,424592
41,106,426088
42,106,429120
43,108,439640
44,105,443272
45,106,446504
46,106,446792
47,107,450180
48,107,453680
49,109,463032
50,106,469096
51,105,469104
52,109,469888
53,108,476396
54,108,480264
55,107,490484
56,114,497728
57,108,508888
58,108,516392
59,85,527372
60,70,533776
61,112,542532
62,109,553524
63,112,559748
64,111,562792
65,109,565516
66,108,568172
67,106,574984
68,107,586112
69,109,593968
70,109,608748
71,111,625064
72,111,643244
73,107,662688
74,100,665308
75,100,665308
76,49,665308
77,20,665308
78,19,665308
79,20,665308
80,19,665308
81,20,665308
82,20,665308
83,19,665308
84,20,665308
85,20,665308
86,19,665308
87,19,665308
88,21,665308
89,19,665308
90,58,665308
91,103,672240
92,111,677984
93,111,684888
94,109,690060
95,108,692480
96,107,696288
97,107,702624
98,106,712676
99,108,718384
100,104,730128
101,107,737064
102,108,748940
103,111,762496
104,112,784348
105,108,803768
106,101,809556
107,99,809556
108,100,809556
109,85,809556
110,27,809556
111,19,809556
112,21,809556
113,20,809564
114,22,809564
115,24,809552
116,20,809552
117,20,809552
118,19,809552
119,19,809552
120,36,809552
121,111,812212
122,109,817820
123,114,826648
124,115,831124
125,108,837260
126,110,843748
127,108,854672
128,108,861908
129,107,869696
130,109,879380
131,107,883676
132,109,894080
133,107,907640
134,111,913148
135,112,932156
136,111,955964
137,112,975312
138,111,997264
139,111,1013104
140,102,1018720
141,99,1018720
142,101,1018720
143,99,1018720
144,100,1018720
145,100,1018720
146,100,1018720
147,101,1018720
148,100,1018720
149,100,1018720
150,100,1018720
151,103,1021904
152,106,1030860
153,104,1041752
154,105,1048336
155,106,1051264
156,104,1053732
157,106,1058088
158,107,1062980
159,102,1066764
160,100,1066764
161,99,1066764
162,100,1066764
163,55,1066764
164,20,1066764
165,19,1066764
166,20,1066764
167,19,1066764
168,20,1066764
169,19,1066764
170,26,1066764
171,20,1066764
172,19,1066764
173,20,1066764
174,19,1066764
175,20,1066764
176,20,1066764
177,19,1066764
178,20,1066764
179,20,1066764
180,70,1066764
181,108,1066812
182,108,1067032
183,113,1067172
184,106,1069332
185,103,1069456
186,106,1069596
187,110,1069704
188,107,1069764
189,111,1070132
190,112,1070228
191,110,1069796
192,113,1069976
193,110,1070276
194,113,1071136
195,112,1072552
196,109,1074084
197,112,1075012
198,110,1076616
199,111,1077692
200,110,1077936
201,112,1079572
202,109,1086216
203,113,1085620
204,117,1086528
205,108,1086984
206,100,1086984
207,100,1086984
208,100,1086984
209,100,1086984
210,105,1087144
211,114,1087948
212,124,1088232
213,139,1090304
214,153,1101020
215,121,1109076
216,107,1110800
217,108,1110896
218,110,1111872
219,109,1112192
220,108,1112836
221,107,1112988
222,108,1113292
223,108,1113664
224,107,1114072
225,108,1113684
226,110,1115180
227,111,1115696
228,108,1116216
229,100,1116216
230,100,1116216
231,99,1116216
232,101,1116216
233,100,1116216
234,100,1116216
235,99,1116208
236,100,1116208
237,101,1116208
238,100,1116208
239,100,1116208
