
,TCP,
interval,frames,Bytes
1,1035,1153929
2,1832,1892890
3,1075,957828
4,1613,1394889
5,740,417097
6,959,906941
7,388,235508
8,449,313338
9,272,104390
10,381,173792
11,337,132478
12,329,116737
13,305,102677
14,326,128690
15,246,94014
16,215,83392
17,242,88380
18,192,40001
19,207,90916
20,24,10145
21,0,0
22,0,0
23,3,262
24,0,0
25,3,262
26,0,0
27,0,0
28,3,262
29,6,524
30,0,0
31,0,0
32,0,0
33,3,262
34,0,0
35,3,262
36,0,0
37,0,0
38,3,262
39,6,524
40,0,0
41,0,0
42,0,0
43,3,262
44,0,0
45,6,460
46,0,0
47,0,0
48,3,262
49,6,524
50,7,1165
51,0,0
52,0,0
53,3,262
54,0,0
55,3,262
56,0,0
57,0,0
58,3,262
59,6,524
60,40,10937
61,348,143416
62,495,302685
63,257,85673
64,352,130299
65,490,212066
66,305,76434
67,298,117004
68,303,101870
69,379,148261
70,390,160065
71,285,90054
72,411,162693
73,425,178688
74,348,105077
75,426,150497
76,326,100376
77,432,225066
78,411,159968
79,372,100039
80,307,80852
81,364,145202
82,320,108446
83,399,189212
84,281,113991
85,374,169286
86,303,135349
87,415,226789
88,296,123398
89,334,165020
90,318,153725
91,278,102614
92,327,117919
93,275,96159
94,314,111629
95,222,78021
96,109,37278
97,60,13776
98,3,262
99,6,524
100,0,0
101,0,0
102,0,0
103,3,262
104,0,0
105,3,262
106,0,0
107,0,0
108,3,262
109,6,524
110,10,1363
111,0,0
112,0,0
113,3,262
114,0,0
115,3,262
116,0,0
117,0,0
118,3,262
119,6,524
120,232,80859
121,551,221577
122,592,334205
123,373,136445
124,375,171539
125,409,178801
126,388,185862
127,428,233028
128,302,144261
129,314,132452
130,166,75555
131,252,133526
132,50,20982
133,3,262
134,0,0
135,3,262
136,0,0
137,0,0
138,3,262
139,6,524
140,0,0
141,0,0
142,0,0
143,3,262
144,0,0
145,3,262
146,0,0
147,0,0
148,3,262
149,6,524
150,0,0
151,0,0
152,3,198
153,3,262
154,6,396
155,6,460
156,3,198
157,0,0
158,3,262
159,6,524
160,0,0
161,0,0
162,0,0
163,3,262
164,0,0
165,3,262
166,0,0
167,0,0
168,3,262
169,6,524
170,3,198
171,0,0
172,0,0
173,3,262
174,0,0
175,3,262
176,0,0
177,0,0
178,3,262
179,6,524
180,106,58036
181,806,594936
182,874,628236
183,434,230308
184,429,202530
185,498,222928
186,383,162990
187,512,306472
188,297,133990
189,332,137084
190,309,129744
191,276,116549
192,175,78163
193,146,47155
194,0,0
195,3,262
196,0,0
197,0,0
198,3,262
199,6,524
200,0,0
201,0,0
202,0,0
203,3,262
204,0,0
205,3,262
206,0,0
207,0,0
208,3,262
209,6,524
210,0,0
211,0,0
212,0,0
213,3,262
214,0,0
215,3,262
216,0,0
217,0,0
218,3,262
219,6,524
220,0,0
221,0,0
222,0,0
223,3,262
224,0,0
225,3,262
226,0,0
227,0,0
228,3,262
229,6,524
230,0,0
231,0,0
232,0,0
233,3,262
234,0,0
235,3,262
236,0,0
237,0,0
238,3,262
239,6,524
240,187,95933
241,611,404947
242,385,165011
243,338,107345
244,300,115329
245,267,82148
246,283,85316
247,350,119542
248,337,125939
249,288,95467
250,277,62688
251,279,75756
252,313,122526
253,238,90956
254,165,38071
255,192,54122
256,210,46950
257,121,20009
258,3,262
259,6,524
260,0,0
261,0,0
262,0,0
263,3,262
264,0,0
265,3,262
266,0,0
267,0,0
268,3,262
269,6,524
270,0,0
271,0,0
272,0,0
273,3,262
274,0,0
275,3,262
276,0,0
277,0,0
278,3,262
279,6,524
280,0,0
281,0,0
282,7,1165
283,3,262
284,0,0
285,0,0
286,3,262
287,0,0
288,3,262
289,6,524
290,0,0
291,0,0
292,0,0
293,3,262
294,0,0
295,0,0
296,3,262
297,0,0
298,3,262
299,6,524
300,43,23635
301,403,217881
302,631,360887
303,729,459151
304,646,364190
305,510,238688
306,329,135628
307,140,40166
308,3,262
309,6,524
310,0,0
311,0,0
312,3,198
313,3,262
314,0,0
315,0,0
316,3,262
317,0,0
318,6,460
319,6,524
320,0,0
321,0,0
322,0,0
323,3,262
324,0,0
325,0,0
326,3,262
327,0,0
328,3,262
329,6,524
330,0,0
331,0,0
332,0,0
333,3,262
334,0,0
335,0,0
336,3,262
337,0,0
338,3,262
339,6,524
340,0,0
341,3,198
342,0,0
343,0,0
344,3,262
345,0,0
346,3,262
347,0,0
348,3,262
349,6,524
350,0,0
351,0,0
352,0,0
353,0,0
354,3,262
355,0,0
356,3,262
357,0,0
358,3,262
359,6,524
360,242,140007
361,727,441785
362,983,696699
363,508,321578
364,449,218539
365,437,194043
366,419,197306
367,406,200676
368,278,161209
369,289,87691
370,285,108584
371,202,48726
372,285,108694
373,375,150701
374,352,181840
375,319,131215
376,258,80616
377,201,62926
378,173,53034
379,62,17834
380,0,0
381,0,0
382,0,0
383,0,0
384,3,262
385,0,0
386,3,262
387,0,0
388,3,262
389,6,524
390,0,0
391,0,0
392,0,0
393,0,0
394,3,262
395,0,0
396,3,262
397,0,0
398,3,262
399,6,524
400,0,0
401,0,0
402,0,0
403,0,0
404,3,262
405,0,0
406,3,262
407,0,0
408,3,262
409,6,524
410,0,0
411,0,0
412,0,0
413,0,0
414,3,262
415,0,0
416,3,262
417,0,0
418,3,262
419,6,524
420,6,720
421,691,419093
422,637,319270
423,858,404061
424,656,267835
425,602,280112
426,1118,715746
427,633,429195
428,646,489803
429,452,319962
430,179,84139
431,0,0
432,0,0
433,0,0
434,3,262
435,0,0
436,3,262
437,0,0
438,3,262
439,6,524
440,0,0
441,0,0
442,0,0
443,0,0
444,3,262
445,0,0
446,3,262
447,0,0
448,0,0
449,9,786
450,0,0
451,0,0
452,0,0
453,0,0
454,3,262
455,0,0
456,3,262
457,0,0
458,0,0
459,9,786
460,0,0
461,0,0
462,0,0
463,0,0
464,3,262
465,0,0
466,3,262
467,0,0
468,0,0
469,9,786
470,0,0
471,0,0
472,0,0
473,0,0
474,3,262
475,0,0
476,3,262
477,0,0
478,0,0
479,9,786
480,10,1172
